Country,Year,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index,Population,Urbanization_Rate,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Climate_Index,Work_Life_Balance,Internet_Access,Crime_Rate,Political_Stability,Employment_Rate
France,2012,4.83,22431.52,0.58,62.39,0.59,0.0,0.61,14.92,0.92,649546362,37.03,8.6,0.98,94.01,58.44,7.3,37.35,7.93,66.44,34.14,0.52,69.3
Germany,2006,6.06,37027.92,0.68,66.25,0.16,0.29,0.6,11.91,0.65,1113491320,39.87,6.51,0.76,55.74,33.56,2.19,50.38,8.86,75.7,52.88,0.86,64.13
Australia,2021,6.48,8035.76,0.34,61.48,0.19,0.39,0.48,12.03,0.58,1022648229,87.79,7.4,0.69,98.71,30.22,3.63,91.45,6.35,72.62,59.41,0.62,59.5
USA,2009,4.71,55518.04,0.38,64.17,0.72,0.0,0.57,15.55,0.54,1086485074,76.43,8.76,0.39,52.13,21.91,4.29,51.42,5.08,77.36,47.82,0.48,76.36
USA,2018,3.54,5582.67,0.73,78.79,0.05,-0.03,0.6,17.39,0.79,52434093,44.27,8.58,0.12,55.21,26.96,4.92,59.22,4.85,63.45,69.39,0.9,87.02
USA,2024,3.35,55870.4,0.93,70.77,0.48,0.28,0.97,6.3,0.55,1160062273,87.81,7.22,0.06,69.08,37.24,6.62,51.71,5.04,89.76,14.08,0.97,94.98
Germany,2007,5.94,42721.11,0.63,84.91,0.15,-0.06,0.22,12.0,0.84,622330054,38.41,4.83,0.48,79.63,33.68,4.93,99.23,4.94,54.87,51.97,0.24,64.45
India,2009,5.6,20453.02,0.79,77.54,0.43,0.25,0.21,16.92,0.84,587651891,74.01,8.75,0.67,66.44,36.98,8.6,99.99,5.36,45.18,46.77,0.18,83.76
South Africa,2020,6.71,24054.27,0.17,59.58,0.75,-0.13,0.06,17.71,0.81,231950247,69.4,8.92,0.65,61.11,48.16,5.79,63.79,3.45,93.79,12.76,0.86,87.83
Germany,2022,5.55,44707.75,0.21,59.25,0.46,0.23,0.66,7.17,0.94,1230795577,79.29,4.52,0.95,72.41,45.67,6.02,84.94,6.8,75.86,10.89,0.24,72.94
Brazil,2021,5.11,36486.79,0.53,61.76,0.16,0.16,0.55,3.87,0.69,1258888820,52.9,6.25,0.38,97.5,39.73,5.42,45.4,6.41,76.26,52.43,0.85,94.21
South Africa,2015,4.99,40626.93,0.18,79.51,0.25,-0.12,0.11,6.19,0.95,1061318586,54.11,6.74,0.63,97.72,52.59,4.48,56.2,5.77,84.96,18.26,0.3,51.1
Canada,2021,3.13,23960.71,0.63,50.96,0.37,0.25,0.36,19.02,0.52,359400639,67.47,4.46,0.89,59.68,54.29,7.8,77.55,3.49,63.18,63.8,0.02,93.22
Australia,2020,4.68,29781.0,0.29,58.06,0.07,0.11,0.18,10.32,0.56,917108080,53.89,4.95,0.4,80.81,43.63,3.84,50.04,3.56,61.24,76.45,0.42,92.84
Germany,2006,7.88,59402.18,0.79,81.67,0.58,-0.05,0.33,9.53,0.71,235826128,32.48,6.69,0.48,83.31,24.7,7.52,45.73,6.27,92.2,22.42,0.04,56.58
France,2008,7.37,13621.45,0.81,72.4,0.61,0.05,0.95,2.24,0.8,291914720,73.78,8.82,0.92,79.21,36.25,6.24,94.56,3.22,61.27,65.9,0.21,71.09
South Africa,2011,4.65,25653.52,0.46,57.94,0.06,0.14,0.68,2.92,0.52,349892483,68.46,4.14,0.55,46.78,45.38,2.82,47.1,7.35,44.32,51.4,0.48,74.76
Brazil,2006,5.94,18217.57,0.18,57.67,0.4,-0.14,0.01,14.04,0.78,1173545736,55.42,8.56,0.8,72.37,22.51,2.14,34.15,8.96,56.93,41.36,0.04,69.29
Canada,2010,7.24,46141.58,0.65,80.19,0.41,0.47,0.25,12.62,0.65,9293122,48.17,8.49,0.94,85.8,20.8,3.36,82.58,6.58,88.04,55.52,0.03,92.99
India,2021,5.21,46076.74,0.99,81.28,0.33,0.27,0.01,12.36,0.94,508643657,49.24,8.29,0.57,52.05,57.93,8.09,47.03,7.34,45.22,66.16,0.16,84.22
France,2011,3.09,18254.28,0.62,58.96,0.56,-0.13,0.71,3.99,0.77,48677321,74.46,5.89,0.11,60.89,49.2,5.08,61.51,5.63,79.42,77.95,0.46,55.93
South Africa,2009,3.37,5802.03,0.04,64.72,0.35,0.38,0.47,8.34,0.79,1019236560,73.75,6.45,0.82,52.23,26.12,8.44,37.81,7.0,54.65,56.23,0.97,94.47
Australia,2009,5.55,1674.53,0.02,79.21,0.42,0.03,0.99,16.62,0.97,788053262,79.14,6.02,0.82,93.22,37.81,6.02,34.8,6.91,81.02,62.29,0.09,52.22
France,2024,7.85,26219.58,0.32,76.99,0.8,0.22,0.73,5.15,0.88,743720792,75.73,8.74,0.11,91.51,27.74,2.26,62.23,7.94,68.3,52.53,0.62,78.59
Canada,2020,6.47,25209.92,0.2,78.49,0.16,-0.01,0.52,17.89,0.72,1417560917,75.48,6.61,0.55,50.15,20.41,8.77,53.6,7.27,75.01,49.55,0.5,75.09
France,2023,3.35,59315.0,0.81,68.14,0.62,0.31,0.8,4.19,0.74,107023943,45.11,4.4,0.49,85.63,35.67,9.49,65.41,7.49,53.38,14.53,0.06,53.48
UK,2013,3.95,28718.32,0.84,81.9,0.51,0.31,0.7,5.04,0.82,568132256,36.1,5.37,0.85,61.84,45.94,2.59,97.6,6.34,49.25,20.86,0.03,83.4
China,2009,6.86,16128.68,0.26,61.41,0.31,0.19,0.24,10.6,0.6,283269271,75.71,6.31,0.27,81.17,58.17,3.67,58.52,5.91,43.48,36.55,0.22,96.2
India,2012,7.21,53582.54,0.33,55.48,0.73,-0.03,0.53,19.02,0.54,670288757,35.92,8.77,0.43,69.6,50.79,7.72,72.19,5.75,85.41,55.47,0.68,72.01
Canada,2013,6.09,29973.01,0.24,74.81,0.55,-0.02,0.56,7.93,0.66,182776176,88.93,6.84,0.6,68.32,29.21,9.98,36.83,5.35,79.08,15.31,0.96,74.67
France,2009,6.22,36351.36,0.91,68.88,0.48,0.07,0.45,13.85,0.89,596900907,82.51,7.48,0.52,92.88,33.45,9.01,92.01,4.6,56.13,48.11,0.56,68.43
China,2014,3.14,6644.45,0.5,79.91,0.67,-0.1,0.18,12.6,0.63,1118757131,62.01,4.44,0.96,78.22,40.82,2.79,86.41,3.2,86.03,10.92,0.05,92.01
China,2006,7.14,23592.07,0.66,52.84,0.8,0.04,0.22,4.69,0.57,278392280,51.13,8.39,0.96,54.15,27.65,6.86,66.57,7.03,85.85,63.63,0.26,94.53
France,2013,6.94,56709.2,0.42,79.53,0.97,0.28,0.28,6.47,0.61,1379474156,61.61,6.7,0.08,46.65,53.32,7.32,42.84,8.41,47.58,56.69,0.94,69.06
Australia,2015,4.3,35780.82,0.63,60.27,0.63,0.38,0.01,18.74,0.84,739376760,74.06,8.61,0.3,96.0,26.72,7.05,59.82,8.58,79.25,46.45,0.01,92.76
UK,2008,6.54,21325.61,0.39,72.92,0.87,0.03,0.92,5.33,0.81,852006713,75.38,6.23,0.01,49.2,31.6,6.54,50.82,6.48,56.08,49.98,0.6,59.81
Germany,2006,4.07,37914.36,0.34,51.4,0.0,-0.04,0.69,14.51,0.84,206077511,34.42,7.42,0.42,84.04,43.1,4.34,99.62,3.56,65.7,75.29,0.18,71.98
UK,2010,3.2,54714.25,0.63,71.34,0.53,0.38,0.69,19.36,0.66,1399913034,78.29,6.35,0.66,69.75,24.93,7.35,64.36,8.27,63.66,73.47,0.07,62.09
France,2018,4.01,17165.45,0.59,75.1,0.21,0.42,0.57,4.15,0.95,508793959,68.49,4.71,0.47,48.4,44.98,7.83,59.56,7.49,73.01,65.49,0.25,60.75
India,2005,3.89,30801.89,0.29,62.91,0.09,0.09,0.69,9.19,0.73,991807660,32.43,5.36,0.07,86.6,57.77,6.61,41.83,4.51,59.09,33.54,0.94,91.14
Germany,2022,4.69,57562.75,0.15,57.54,0.53,-0.18,0.98,6.03,0.76,10489209,48.79,4.34,0.2,94.27,47.66,5.98,46.74,7.82,44.03,17.51,0.76,84.28
Canada,2011,5.09,11171.37,0.37,68.82,0.75,0.29,0.39,5.99,0.97,686429911,60.64,6.2,0.17,47.29,52.51,3.75,79.81,5.83,77.0,32.5,0.17,53.21
UK,2005,5.54,43460.17,0.42,79.16,0.41,0.35,0.71,4.14,0.99,1438296880,41.31,7.25,0.51,44.03,37.54,6.36,67.44,8.33,92.83,62.64,0.07,86.36
France,2005,5.38,37254.38,0.63,61.32,0.67,-0.19,0.36,13.69,0.83,271815031,39.31,5.22,0.68,90.99,34.61,3.03,55.06,4.49,76.73,52.77,0.49,77.5
UK,2005,4.35,41100.83,0.91,58.84,0.49,0.22,0.85,15.43,0.97,811608375,30.86,6.45,0.32,70.06,33.14,2.58,50.79,7.81,69.68,59.39,0.05,87.77
Germany,2008,3.15,21721.96,0.04,59.76,0.44,0.21,0.86,14.18,0.77,995197547,84.69,6.29,0.13,80.47,46.42,8.22,44.05,7.27,49.0,17.37,0.4,78.48
Brazil,2008,6.03,19518.88,0.24,83.22,0.29,0.07,0.9,18.64,0.65,1202954238,33.37,6.67,0.8,66.49,40.74,7.41,32.37,3.09,74.38,21.09,0.8,68.12
South Africa,2022,4.98,41368.37,0.19,62.57,0.38,0.32,0.01,4.62,0.66,58322265,51.96,4.92,0.86,64.75,38.89,7.19,98.4,6.38,73.61,56.5,0.5,73.76
UK,2015,4.49,13717.05,0.5,50.13,0.35,0.1,0.3,7.76,0.78,615467759,42.35,6.67,0.28,57.98,24.03,9.43,82.72,7.29,74.03,36.03,0.9,56.8
Canada,2005,7.33,25759.63,0.43,77.36,0.65,0.27,0.13,8.2,0.8,235293961,74.46,5.82,0.42,73.78,46.93,5.05,94.95,3.94,89.08,35.84,0.79,64.91
Canada,2014,6.73,12102.3,0.73,74.47,0.12,0.16,0.45,6.18,0.72,370683631,72.43,5.43,0.08,49.59,49.02,5.2,58.88,6.19,79.4,37.49,0.56,51.07
USA,2013,7.29,1489.99,0.24,54.5,0.09,-0.03,0.5,4.56,0.94,983841277,78.37,6.93,0.23,83.03,27.85,5.31,90.86,4.82,83.09,65.72,0.79,69.5
UK,2008,5.47,58233.38,0.59,84.47,0.66,0.22,0.26,10.76,0.71,1248567936,67.01,4.74,0.77,72.97,50.39,5.72,47.94,7.18,57.23,58.93,0.09,54.38
South Africa,2010,3.65,26470.48,0.88,71.28,0.55,0.32,0.72,17.02,0.64,1063759186,65.5,8.5,0.37,90.85,55.18,6.1,65.69,6.24,54.87,17.42,0.2,81.71
Australia,2020,6.48,58191.63,0.91,67.53,0.43,0.48,0.27,19.18,0.5,589018487,54.43,8.67,0.6,95.26,26.98,8.22,44.17,6.73,51.37,34.11,0.7,93.8
China,2006,4.03,9279.09,0.96,63.38,0.15,0.07,0.85,4.33,0.99,1328683517,68.18,7.3,0.95,94.04,38.08,3.74,83.92,3.44,82.81,57.17,0.01,85.55
South Africa,2022,5.21,35654.64,0.77,81.45,0.41,-0.15,0.18,16.82,0.91,230316807,36.91,5.52,0.72,76.07,55.05,5.47,64.83,3.83,78.42,78.33,0.0,59.96
China,2014,3.33,12857.47,0.91,58.54,0.79,0.49,0.37,16.84,0.81,1399974159,71.07,7.13,0.45,59.12,39.49,6.04,67.54,6.31,58.82,73.86,0.38,74.34
China,2021,7.13,47614.37,0.23,60.0,0.89,0.24,0.62,9.0,0.92,734626939,36.23,7.01,0.37,61.43,52.61,3.35,90.16,4.09,47.76,27.38,0.87,84.17
Brazil,2017,3.63,47238.48,0.2,54.28,0.7,0.46,0.61,3.98,0.91,881536142,81.7,5.96,0.19,79.15,28.63,7.62,81.75,5.99,86.57,14.62,0.98,88.67
USA,2022,7.52,7643.82,0.01,76.57,0.06,-0.13,0.08,19.82,0.97,1368543620,60.34,5.44,0.76,82.72,22.56,2.45,97.64,7.14,61.14,50.13,0.65,63.58
South Africa,2017,7.32,54811.8,0.71,70.84,0.67,0.04,0.85,13.8,0.69,1382121449,61.82,4.84,0.11,49.68,22.38,6.69,58.37,7.86,50.44,38.44,0.95,72.9
South Africa,2021,5.32,12483.15,0.94,71.32,0.24,-0.11,0.6,19.68,0.78,1269137095,65.09,5.09,0.06,99.88,58.89,3.62,62.3,3.86,47.94,22.84,0.85,55.01
Brazil,2009,6.72,37165.66,0.19,57.65,0.32,0.38,0.87,10.71,0.55,973484844,76.56,7.27,0.1,46.45,26.59,2.07,73.07,7.45,90.58,55.62,0.2,84.87
UK,2015,6.1,59152.38,0.64,72.79,0.2,0.42,0.87,9.11,0.98,1377934885,58.71,8.43,0.24,76.43,54.6,4.53,61.73,5.18,47.16,21.22,0.4,70.87
UK,2011,7.02,53061.4,0.75,76.79,0.78,0.15,0.55,6.45,0.99,321707441,55.66,5.92,0.63,71.86,32.63,5.43,59.37,7.07,59.78,34.6,0.62,52.0
UK,2014,5.16,57437.27,0.93,62.53,0.65,-0.07,0.91,19.7,0.89,1304662791,47.3,4.61,0.86,75.46,21.6,8.54,53.84,3.87,74.77,65.62,0.15,75.41
India,2021,6.93,21213.33,0.65,78.05,0.61,-0.11,0.85,6.56,0.73,392726896,37.68,4.06,0.99,72.03,29.64,5.26,88.23,6.09,62.44,57.9,0.31,87.99
China,2019,5.31,7228.96,0.97,62.21,0.67,0.21,0.96,2.43,0.75,1494283677,41.42,6.03,0.73,43.47,40.22,9.32,67.34,8.03,66.26,52.5,0.76,52.13
India,2022,7.7,12112.47,0.34,76.53,0.24,0.15,0.85,11.22,0.72,775999313,30.03,5.16,0.15,99.76,24.27,8.74,72.52,3.64,84.14,75.16,0.34,69.36
USA,2023,5.43,30529.2,0.35,51.18,0.44,0.29,0.82,8.79,0.65,628623205,82.17,5.61,0.28,98.88,56.89,3.54,44.29,7.97,94.96,18.78,0.93,73.13
Brazil,2006,5.31,47800.55,0.54,69.29,0.63,0.01,0.47,6.7,0.76,294672598,75.9,5.21,0.13,71.46,56.0,3.25,47.62,5.72,65.7,58.37,0.41,97.98
South Africa,2008,6.93,9859.07,0.38,83.93,0.64,0.08,0.21,13.42,0.53,1382528969,43.12,7.32,0.12,52.5,25.97,3.95,53.79,7.94,60.84,18.21,0.22,60.5
China,2007,7.11,39924.16,0.0,84.34,0.79,-0.19,0.91,8.56,1.0,271151970,30.14,7.19,0.57,50.98,49.48,4.88,62.58,8.75,62.37,19.55,0.21,89.32
India,2011,5.77,20091.08,0.73,59.86,0.29,0.23,0.72,9.24,0.71,60283809,59.53,8.56,0.91,43.42,38.43,6.67,33.07,3.96,60.3,45.45,0.69,57.0
India,2022,3.9,21130.92,0.75,65.45,0.77,0.1,0.28,2.41,0.96,675300849,54.75,7.5,0.68,76.71,59.29,2.99,92.19,7.05,66.06,11.69,0.37,96.27
France,2014,5.34,40053.15,0.75,52.2,0.44,0.44,0.34,12.6,0.86,339829217,76.56,4.82,0.8,68.69,22.22,6.26,93.26,4.41,58.32,45.07,0.24,64.72
India,2011,7.84,28552.97,0.35,80.57,0.67,0.25,0.69,4.2,0.64,1415910201,54.17,7.76,0.51,64.98,38.84,6.65,76.32,3.81,65.44,10.66,0.69,56.99
Australia,2012,6.76,48909.96,0.52,69.9,0.46,0.08,0.48,5.85,0.61,622482027,81.85,4.91,0.48,71.51,31.42,7.29,52.12,6.77,92.0,52.17,0.42,68.32
South Africa,2010,7.06,10199.19,0.36,63.48,0.95,-0.02,0.08,14.91,1.0,906760772,35.75,6.79,0.94,92.37,49.06,6.4,56.97,3.65,55.74,31.84,0.85,50.73
Australia,2005,3.16,47606.95,0.02,53.95,0.18,0.43,0.14,7.64,0.89,363627513,51.95,4.39,0.72,44.24,24.45,8.6,81.38,5.79,75.85,15.83,0.55,55.23
South Africa,2008,5.34,4789.88,0.56,83.14,0.68,-0.19,0.75,4.94,0.62,519110979,86.04,4.24,0.46,72.65,45.12,7.13,50.04,6.82,66.78,64.66,0.97,73.82
Brazil,2018,6.23,12449.18,0.12,68.56,0.58,0.03,0.33,12.39,0.53,88257901,30.7,6.32,0.33,82.06,57.92,9.4,72.62,6.0,80.28,37.29,0.37,95.15
South Africa,2021,7.15,39712.83,0.08,59.9,0.17,0.46,0.51,5.87,0.85,435429473,53.45,4.52,0.09,98.24,38.16,7.61,93.44,7.18,65.98,41.08,0.28,71.36
Australia,2024,3.25,51440.61,0.76,62.26,0.07,0.26,0.77,6.88,0.65,409206068,45.58,5.53,0.82,84.38,38.17,5.49,58.73,7.81,48.83,36.21,0.64,81.69
South Africa,2022,7.26,15908.1,0.01,59.47,0.8,0.17,0.75,13.18,0.61,111728550,61.91,5.69,0.17,72.89,39.83,3.68,71.09,8.23,87.98,15.85,0.71,83.94
Brazil,2015,5.74,20304.3,0.96,71.06,0.16,-0.06,0.17,15.32,0.87,1101546004,46.73,7.85,0.52,86.01,36.63,2.08,95.0,6.36,77.17,42.19,0.02,51.75
Brazil,2018,3.99,32690.12,0.52,82.55,0.19,0.38,0.1,15.31,0.84,180006570,82.19,5.66,0.64,99.82,37.9,2.72,53.84,4.66,68.92,56.58,0.67,65.46
USA,2013,4.59,13482.8,0.98,79.98,0.98,-0.06,0.59,10.68,0.74,1275027403,86.23,6.47,0.74,93.32,38.53,3.52,83.17,6.06,85.71,73.24,0.18,97.86
South Africa,2019,4.41,48858.22,0.06,66.11,0.72,-0.03,0.74,10.18,0.97,720804181,80.95,7.86,0.08,45.35,59.92,3.73,82.86,5.33,93.69,63.47,0.96,50.34
France,2016,5.65,46644.56,0.58,78.93,0.25,-0.07,0.15,16.18,0.84,143013244,53.91,5.02,0.01,74.49,24.66,7.94,94.99,4.36,62.52,15.55,0.58,72.57
UK,2014,3.26,9572.21,0.35,64.81,0.59,-0.09,0.37,5.47,0.95,890615897,89.4,8.02,0.71,87.19,31.41,5.09,90.1,6.17,59.42,21.61,0.13,90.2
Canada,2023,3.79,28365.95,0.84,58.83,0.53,0.47,0.87,4.74,0.6,1472536132,74.1,8.16,0.45,80.31,28.43,4.6,82.42,3.14,81.45,13.14,0.05,63.84
Brazil,2023,7.06,46714.84,0.36,84.42,0.84,0.22,0.94,13.96,0.65,1267099669,51.34,8.94,0.18,65.02,41.77,2.42,74.56,6.63,65.0,18.36,0.88,97.84
Germany,2010,3.66,20902.44,0.26,60.64,0.73,0.25,0.45,9.37,0.55,768740422,35.62,6.22,0.98,59.35,20.11,6.31,46.88,7.93,44.72,43.64,0.85,73.33
UK,2024,4.17,38353.3,0.86,61.33,0.83,0.47,0.08,14.78,0.65,124674951,70.02,5.85,0.79,77.62,56.84,6.9,76.95,9.0,59.49,25.38,0.43,93.87
China,2010,5.27,3962.57,0.37,84.64,0.21,-0.04,0.26,6.62,0.99,477950307,73.71,7.51,0.58,64.74,41.24,9.02,49.35,8.53,84.47,55.36,0.09,75.36
South Africa,2012,5.59,36912.64,0.02,54.69,0.64,-0.2,0.23,7.85,0.98,324328035,37.35,4.29,0.7,63.52,55.84,6.02,60.8,3.54,78.87,12.27,0.39,69.09
Australia,2005,6.82,10006.53,0.39,76.62,0.04,0.22,0.24,18.14,0.88,408942010,62.98,4.2,0.16,90.2,33.8,2.06,79.68,3.97,87.46,70.01,0.76,84.08
Canada,2021,5.24,50004.42,0.65,82.75,0.07,0.16,0.49,9.59,0.76,781526811,89.23,5.67,0.96,58.94,26.0,2.52,77.24,3.83,48.06,57.43,0.66,96.0
Germany,2021,6.95,21971.52,0.25,67.91,0.71,0.13,0.58,12.64,0.89,239655303,49.57,7.65,1.0,78.7,27.69,4.17,58.08,6.35,53.42,77.84,0.87,68.05
UK,2019,6.09,17611.68,0.43,50.09,0.02,-0.16,0.12,3.92,0.78,197470223,48.11,4.58,0.65,92.41,38.83,3.11,42.79,3.28,51.81,76.7,0.75,91.52
South Africa,2011,3.57,50612.45,0.06,63.13,0.58,0.12,0.89,5.22,0.5,1074749629,84.2,7.18,0.67,77.31,21.61,8.16,63.89,8.62,93.42,58.5,0.33,81.66
USA,2023,3.78,3958.5,0.59,53.9,0.84,0.0,0.62,2.65,0.75,347389184,37.04,5.35,0.7,69.57,51.27,2.86,48.9,3.37,49.29,21.06,0.34,68.17
China,2007,5.19,24399.92,0.76,64.57,0.38,-0.01,0.6,9.64,0.8,306170585,86.01,7.26,0.67,42.12,51.63,3.29,47.88,5.35,72.89,25.55,0.65,52.66
Canada,2015,4.98,22830.21,0.41,77.65,0.04,-0.04,0.99,19.8,0.63,1219386355,76.77,6.28,0.44,80.89,48.08,7.33,52.88,8.36,74.81,29.43,0.31,64.95
France,2024,6.72,17803.22,0.42,65.35,0.71,0.03,0.63,17.73,0.6,282852877,53.45,4.58,0.54,99.85,55.85,3.92,79.44,8.69,74.04,39.87,0.87,89.9
USA,2023,5.9,54793.51,0.09,65.12,0.93,0.05,0.93,13.39,0.64,1293455780,35.01,5.24,0.28,88.51,41.98,9.75,64.81,5.79,78.04,49.96,0.33,54.57
Germany,2013,4.94,45304.78,0.2,69.49,0.72,0.02,0.29,17.5,0.81,556274843,31.15,5.1,0.45,78.07,39.17,8.91,56.12,5.93,66.62,57.78,0.49,77.46
Canada,2014,3.85,4771.47,0.15,70.36,0.58,0.49,0.24,12.7,0.57,1038743042,52.55,4.82,0.44,68.15,41.17,7.96,93.04,6.82,44.6,15.29,0.04,74.57
USA,2006,4.13,43166.56,0.48,79.97,0.23,0.45,0.52,8.64,0.86,863688370,72.32,6.34,0.29,53.46,27.28,4.75,79.47,5.45,78.57,52.74,0.12,81.76
China,2005,5.88,32110.65,0.53,60.79,0.02,0.2,0.51,5.12,0.71,848958123,59.25,8.77,0.79,81.53,40.49,2.45,64.63,4.95,55.46,14.14,0.13,95.07
France,2020,5.12,54151.21,0.95,78.76,0.69,0.49,0.23,13.75,0.68,704579961,74.32,7.29,0.41,50.64,41.67,4.69,59.49,7.44,44.17,67.89,0.34,86.08
USA,2022,5.57,19463.79,0.07,69.81,0.23,0.49,0.7,5.47,0.9,831019550,70.23,8.18,0.55,93.22,50.58,5.01,87.32,6.57,49.34,12.83,0.12,74.51
India,2021,3.85,34875.56,0.6,60.52,0.86,0.05,0.03,9.51,0.75,80895195,64.37,8.91,0.16,61.24,33.92,3.02,42.1,5.89,55.8,37.3,0.46,89.86
France,2010,6.31,30544.56,0.53,60.33,0.47,0.11,0.69,16.86,0.69,190046578,88.05,6.7,0.47,63.99,23.69,2.97,76.49,3.6,63.78,39.4,0.27,83.68
Germany,2018,7.26,29884.09,0.52,62.64,0.53,0.47,0.46,4.33,0.94,570853139,73.7,5.19,0.76,52.96,43.9,7.34,31.47,3.41,87.37,49.93,0.27,92.99
China,2019,4.29,27910.22,0.87,71.79,0.75,0.23,0.69,4.32,0.68,895635028,84.88,8.64,0.44,68.9,51.52,3.86,30.49,6.06,69.51,16.68,0.45,84.77
South Africa,2018,5.46,13132.14,0.21,58.08,0.78,-0.05,0.48,6.04,0.93,6703923,44.53,7.49,0.56,80.83,58.78,7.42,95.22,6.72,65.96,75.32,0.85,86.14
Australia,2007,7.88,45586.89,0.04,82.21,0.64,0.28,0.98,11.93,0.75,234120563,72.82,8.79,0.7,58.17,23.61,6.39,65.98,6.95,50.52,36.82,0.76,54.03
Australia,2023,4.67,27628.83,0.67,70.12,0.94,-0.06,0.33,6.53,0.6,401604441,65.87,7.26,0.39,82.11,49.85,9.21,52.06,8.37,92.76,37.73,0.88,50.18
Australia,2016,5.98,57552.46,0.35,82.2,0.98,0.04,0.98,11.06,0.81,946560617,85.46,7.88,0.35,77.23,43.83,8.38,85.63,7.9,89.97,27.02,0.99,95.87
Canada,2006,3.45,16387.7,0.02,51.62,0.95,-0.04,0.06,7.44,0.64,1434852008,60.63,8.45,0.09,62.34,20.61,3.21,98.94,3.84,84.88,64.65,0.01,62.1
Germany,2007,6.03,41281.89,0.25,61.99,0.82,-0.03,0.68,11.11,0.57,541692408,46.78,7.8,0.58,58.77,48.73,6.88,32.41,7.77,57.77,10.54,0.69,57.92
China,2022,3.45,56502.31,0.31,50.8,0.71,-0.2,0.45,7.0,0.54,445325420,53.09,6.81,0.71,91.68,21.05,7.23,32.66,7.06,70.89,17.43,0.12,57.62
France,2005,7.8,40144.04,0.62,59.53,0.66,0.42,0.82,19.64,0.62,589139943,43.13,6.36,0.58,40.72,51.41,8.9,89.83,7.97,61.39,42.95,0.94,85.42
Canada,2024,6.58,52405.1,0.17,80.17,0.1,0.01,0.79,10.87,0.87,968302805,43.2,8.12,0.28,82.95,48.85,7.13,68.97,8.06,62.16,77.78,0.23,52.23
Germany,2010,6.94,49821.38,0.41,51.28,0.27,-0.14,0.8,15.39,0.92,1237217484,58.23,7.86,0.26,65.04,47.52,3.13,91.79,5.07,43.97,12.49,0.35,81.73
South Africa,2009,6.52,22246.95,0.48,65.27,0.01,-0.14,0.09,14.61,0.93,405408539,83.55,5.83,0.16,83.06,24.8,4.07,78.63,4.58,47.7,14.34,0.98,77.43
India,2005,5.95,36407.31,0.46,54.11,0.14,0.19,0.82,10.83,0.64,1033003578,41.51,6.49,0.05,70.45,56.76,7.1,62.94,6.32,92.86,60.04,0.87,57.07
China,2023,5.25,10219.42,0.97,64.59,0.44,0.5,0.21,6.3,0.83,254210549,47.27,7.17,0.43,45.03,55.96,9.3,41.29,4.79,73.55,61.48,0.05,56.5
Australia,2005,7.29,32596.03,0.05,79.36,0.15,-0.1,0.03,11.19,0.62,879953339,81.18,4.14,0.16,98.92,56.01,9.13,57.29,5.1,40.35,72.79,0.05,56.37
USA,2020,7.78,14594.9,0.95,71.81,0.9,-0.13,0.22,14.26,0.81,777943857,50.36,5.24,0.69,45.16,34.41,4.87,85.1,3.41,84.51,50.36,0.82,62.46
China,2016,5.5,44880.47,0.58,75.79,0.81,0.11,0.48,10.28,0.94,366437494,87.74,5.25,0.96,49.51,39.69,8.65,46.37,8.95,44.79,38.25,0.07,80.81
Brazil,2012,7.66,32155.45,0.8,62.22,0.07,0.19,0.74,3.47,0.52,1038623624,46.14,8.42,0.07,65.22,24.6,6.09,79.87,4.86,78.95,41.58,0.85,59.93
Germany,2020,5.92,25262.41,0.43,83.05,0.25,0.01,0.22,2.32,0.99,1167289790,56.53,5.66,0.89,96.68,22.04,5.71,47.31,7.68,74.15,40.21,0.92,81.68
UK,2005,5.69,16859.03,0.45,74.82,0.82,0.01,0.11,7.9,0.91,180791624,35.74,6.73,0.66,57.58,22.35,4.81,62.45,8.96,43.46,78.15,0.02,96.64
South Africa,2008,5.27,59923.21,0.88,64.76,0.8,0.1,0.65,4.7,0.88,548270145,89.53,8.16,0.86,74.12,42.75,7.43,35.98,8.81,69.2,36.61,0.22,91.38
India,2014,4.05,5230.92,0.9,64.93,0.95,0.02,0.98,18.31,0.85,666009368,83.41,5.3,0.15,71.29,32.86,6.8,61.85,6.8,42.61,16.72,0.02,88.31
South Africa,2015,3.02,3570.08,0.24,82.15,1.0,0.44,0.6,5.16,0.89,1028564276,79.05,4.62,0.91,59.81,43.18,5.0,72.89,6.23,43.54,30.27,0.07,95.56
China,2021,4.21,13818.19,0.2,70.17,0.98,-0.17,0.69,9.1,1.0,98062865,39.44,8.74,0.96,81.78,43.71,8.1,69.43,4.86,42.81,77.21,0.53,79.4
UK,2011,5.55,58293.28,0.5,74.72,0.41,-0.04,0.56,14.82,0.89,130749634,88.16,7.52,0.91,70.09,56.28,5.03,58.45,8.17,54.05,39.98,0.73,86.91
Brazil,2016,4.9,58775.05,0.9,64.6,0.25,0.37,0.78,16.68,0.68,216734089,85.75,4.89,0.79,74.7,55.29,6.68,55.88,5.03,84.1,32.13,0.48,87.15
